Year,Sake,SyntheticSake,ContinuousDistilledShochu,SingleDistilledShochu,Beer,LowMaltBeer,Adult
2019,68824,4412,64334,43611,493506,67278,11625
2018,67036,4065,62657,43300,506951,76385,11531
2017,71864,4281,65155,46830,507098,73520,11390
2016,69694,4486,65155,44494,493290,76404,11328
2015,68265,4670,64819,43844,484347,72687,11258
